,match,GK Home,GK Away,FW Home,FW Away,MF Home,MF Away,DF Home,DF Away,backup Home,backup Away,Year,Winner
62,Uruguay-Germany,81.0,89.0,77.66666666666667,69.66666666666667,77.26388888888889,86.25,76.0,79.66666666666667,65.26851851851852,70.15873015873017,2010,0
63,Netherlands-Spain,76.0,72.0,80.33333333333333,79.66666666666667,71.875,81.0,73.58333333333333,87.33333333333333,66.83333333333333,65.91666666666667,2010,0
0,Brazil-Croatia,73.0,82.0,83.33333333333333,79.0,83.0,86.5,85.0,81.33333333333333,68.43939393939394,71.74621212121212,2014,2
1,Mexico-Cameroon,69.0,69.11764705882354,76.66666666666667,75.37254901960785,78.75,71.83823529411765,72.66666666666667,76.0,66.16666666666667,64.92647058823529,2014,2
2,Spain-Netherlands,91.0,76.0,79.66666666666667,82.0,84.5,77.25,88.33333333333333,80.66666666666667,68.83333333333333,71.7840909090909,2014,0
3,Chile-Australia,73.0,80.0,74.0,69.33333333333333,77.75,74.5,75.0,71.0,63.166666666666664,65.83333333333333,2014,2
4,Colombia-Greece,79.0,78.0,75.66666666666667,67.66666666666667,72.0,75.0,75.0,76.66666666666667,63.63492063492064,67.41666666666667,2014,2
5,Uruguay-Costa Rica,81.0,69.0,82.33333333333333,67.8,77.03571428571428,73.5,80.0,74.0,63.345238095238095,63.48333333333333,2014,0
6,England-Italy,79.0,88.0,74.0,85.66666666666667,82.5,82.75,79.66666666666667,86.33333333333333,74.47348484848486,74.75,2014,0
7,Ivory Coast-Japan,86.0,63.0,78.33333333333333,63.0,71.59375,62.5,76.125,73.66666666666667,69.07291666666667,60.5,2014,2
8,Switzerland-Ecuador,84.0,76.0,76.0,73.74074074074075,79.0,73.5,76.54545454545455,72.14814814814815,73.5,69.2037037037037,2014,2
9,France-Honduras,88.0,72.0,85.66666666666667,67.33333333333333,82.75,76.5,83.0,68.39999999999999,74.33333333333333,63.36666666666667,2014,2
10,Argentina-Bosnia and Herzegovina,80.0,78.0,85.0,81.66666666666667,80.25,79.75,77.14285714285715,76.87878787878788,72.53571428571429,70.33333333333333,2014,2
11,Germany-Portugal,89.0,83.0,80.0,73.6984126984127,85.5,78.25,85.0,79.66666666666667,74.91666666666667,68.66666666666667,2014,2
12,Iran-Nigeria,80.0,73.0,73.33333333333333,73.31111111111112,69.61666666666667,75.25,69.82222222222222,72.31111111111112,65.56666666666668,68.38333333333334,2014,1
13,Ghana-United States,68.0,73.0,77.0,69.66666666666667,76.75,74.0,71.66666666666667,77.66666666666667,68.0,68.76136363636364,2014,0
14,Belgium-Algeria,89.0,72.85,78.66666666666667,74.0,86.54761904761905,81.75,86.33333333333333,78.0,74.26587301587301,68.30833333333334,2014,2
15,Brazil-Mexico,73.0,69.0,83.33333333333333,76.66666666666667,83.0,78.75,85.0,72.66666666666667,68.43939393939394,66.16666666666667,2014,1
16,Russia-South Korea,80.0,65.3,77.26190476190476,70.10000000000001,76.14285714285714,66.475,74.85714285714286,67.43333333333334,73.26190476190477,63.17499999999999,2014,1
17,Australia-Netherlands,80.0,76.0,69.33333333333333,82.0,74.5,77.25,71.0,80.66666666666667,65.83333333333333,71.7840909090909,2014,0
18,Spain-Chile,91.0,73.0,79.66666666666667,74.0,84.5,77.75,88.33333333333333,75.0,68.83333333333333,63.166666666666664,2014,0
19,Cameroon-Croatia,69.11764705882354,82.0,75.37254901960785,79.0,71.83823529411765,86.5,76.0,81.33333333333333,64.92647058823529,71.74621212121212,2014,0
20,Colombia-Ivory Coast,79.0,86.0,75.66666666666667,78.33333333333333,72.0,71.59375,75.0,76.125,63.63492063492064,69.07291666666667,2014,2
21,Uruguay-England,81.0,79.0,82.33333333333333,74.0,77.03571428571428,82.5,80.0,79.66666666666667,63.345238095238095,74.47348484848486,2014,2
22,Japan-Greece,63.0,78.0,63.0,67.66666666666667,62.5,75.0,73.66666666666667,76.66666666666667,60.5,67.41666666666667,2014,1
23,Italy-Costa Rica,88.0,69.0,85.66666666666667,67.8,82.75,73.5,86.33333333333333,74.0,74.75,63.48333333333333,2014,0
24,Switzerland-France,84.0,88.0,76.0,85.66666666666667,79.0,82.75,76.54545454545455,83.0,73.5,74.33333333333333,2014,0
25,Honduras-Ecuador,72.0,76.0,67.33333333333333,73.74074074074075,76.5,73.5,68.39999999999999,72.14814814814815,63.36666666666667,69.2037037037037,2014,0
26,Argentina-Iran,80.0,80.0,85.0,73.33333333333333,80.25,69.61666666666667,77.14285714285715,69.82222222222222,72.53571428571429,65.56666666666668,2014,2
27,Germany-Ghana,89.0,68.0,80.0,77.0,85.5,76.75,85.0,71.66666666666667,74.91666666666667,68.0,2014,1
28,Nigeria-Bosnia and Herzegovina,73.0,78.0,73.31111111111112,81.66666666666667,75.25,79.75,72.31111111111112,76.87878787878788,68.38333333333334,70.33333333333333,2014,2
29,Belgium-Russia,89.0,80.0,78.66666666666667,77.26190476190476,86.54761904761905,76.14285714285714,86.33333333333333,74.85714285714286,74.26587301587301,73.26190476190477,2014,2
30,South Korea-Algeria,65.3,72.85,70.10000000000001,74.0,66.475,81.75,67.43333333333334,78.0,63.17499999999999,68.30833333333334,2014,0
31,United States-Portugal,73.0,83.0,69.66666666666667,73.6984126984127,74.0,78.25,77.66666666666667,79.66666666666667,68.76136363636364,68.66666666666667,2014,1
32,Australia-Spain,80.0,91.0,69.33333333333333,79.66666666666667,74.5,84.5,71.0,88.33333333333333,65.83333333333333,68.83333333333333,2014,0
33,Netherlands-Chile,76.0,73.0,82.0,74.0,77.25,77.75,80.66666666666667,75.0,71.7840909090909,63.166666666666664,2014,2
34,Cameroon-Brazil,69.11764705882354,73.0,75.37254901960785,83.33333333333333,71.83823529411765,83.0,76.0,85.0,64.92647058823529,68.43939393939394,2014,0
35,Croatia-Mexico,82.0,69.0,79.0,76.66666666666667,86.5,78.75,81.33333333333333,72.66666666666667,71.74621212121212,66.16666666666667,2014,0
36,Italy-Uruguay,88.0,81.0,85.66666666666667,82.33333333333333,82.75,77.03571428571428,86.33333333333333,80.0,74.75,63.345238095238095,2014,0
37,Costa Rica-England,69.0,79.0,67.8,74.0,73.5,82.5,74.0,79.66666666666667,63.48333333333333,74.47348484848486,2014,1
38,Japan-Colombia,63.0,79.0,63.0,75.66666666666667,62.5,72.0,73.66666666666667,75.0,60.5,63.63492063492064,2014,0
39,Greece-Ivory Coast,78.0,86.0,67.66666666666667,78.33333333333333,75.0,71.59375,76.66666666666667,76.125,67.41666666666667,69.07291666666667,2014,2
40,Nigeria-Argentina,73.0,80.0,73.31111111111112,85.0,75.25,80.25,72.31111111111112,77.14285714285715,68.38333333333334,72.53571428571429,2014,0
41,Bosnia and Herzegovina-Iran,78.0,80.0,81.66666666666667,73.33333333333333,79.75,69.61666666666667,76.87878787878788,69.82222222222222,70.33333333333333,65.56666666666668,2014,2
42,Honduras-Switzerland,72.0,84.0,67.33333333333333,76.0,76.5,79.0,68.39999999999999,76.54545454545455,63.36666666666667,73.5,2014,0
43,Ecuador-France,76.0,88.0,73.74074074074075,85.66666666666667,73.5,82.75,72.14814814814815,83.0,69.2037037037037,74.33333333333333,2014,1
44,United States-Germany,73.0,89.0,69.66666666666667,80.0,74.0,85.5,77.66666666666667,85.0,68.76136363636364,74.91666666666667,2014,0
45,Portugal-Ghana,83.0,68.0,73.6984126984127,77.0,78.25,76.75,79.66666666666667,71.66666666666667,68.66666666666667,68.0,2014,2
46,South Korea-Belgium,65.3,89.0,70.10000000000001,78.66666666666667,66.475,86.54761904761905,67.43333333333334,86.33333333333333,63.17499999999999,74.26587301587301,2014,0
47,Algeria-Russia,72.85,80.0,74.0,77.26190476190476,81.75,76.14285714285714,78.0,74.85714285714286,68.30833333333334,73.26190476190477,2014,1
48,Brazil-Chile,73.0,73.0,83.33333333333333,74.0,83.0,77.75,85.0,75.0,68.43939393939394,63.166666666666664,2014,1
49,Colombia-Uruguay,79.0,81.0,75.66666666666667,82.33333333333333,72.0,77.03571428571428,75.0,80.0,63.63492063492064,63.345238095238095,2014,2
50,France-Nigeria,88.0,73.0,85.66666666666667,73.31111111111112,82.75,75.25,83.0,72.31111111111112,74.33333333333333,68.38333333333334,2014,2
51,Germany-Algeria,89.0,72.85,80.0,74.0,85.5,81.75,85.0,78.0,74.91666666666667,68.30833333333334,2014,2
52,Brazil-Colombia,73.0,79.0,83.33333333333333,75.66666666666667,83.0,72.0,85.0,75.0,68.43939393939394,63.63492063492064,2014,2
53,France-Germany,88.0,89.0,85.66666666666667,80.0,82.75,85.5,83.0,85.0,74.33333333333333,74.91666666666667,2014,0
54,Brazil-Germany,73.0,89.0,83.33333333333333,80.0,83.0,85.5,85.0,85.0,68.43939393939394,74.91666666666667,2014,0
55,Brazil-Netherlands,73.0,76.0,83.33333333333333,82.0,83.0,77.25,85.0,80.66666666666667,68.43939393939394,71.7840909090909,2014,0
56,Germany-Argentina,89.0,80.0,80.0,85.0,85.5,80.25,85.0,77.14285714285715,74.91666666666667,72.53571428571429,2014,2
57,Netherlands-Argentina,76.0,80.0,82.0,85.0,77.25,80.25,80.66666666666667,77.14285714285715,71.7840909090909,72.53571428571429,2014,1
58,Netherlands-Costa Rica,76.0,69.0,82.0,67.8,77.25,73.5,80.66666666666667,74.0,71.7840909090909,63.48333333333333,2014,1
59,Argentina-Belgium,80.0,89.0,85.0,78.66666666666667,80.25,86.54761904761905,77.14285714285715,86.33333333333333,72.53571428571429,74.26587301587301,2014,2
60,Netherlands-Mexico,76.0,69.0,82.0,76.66666666666667,77.25,78.75,80.66666666666667,72.66666666666667,71.7840909090909,66.16666666666667,2014,2
61,Costa Rica-Greece,69.0,78.0,67.8,67.66666666666667,73.5,75.0,74.0,76.66666666666667,63.48333333333333,67.41666666666667,2014,1
62,Argentina-Switzerland,80.0,84.0,85.0,76.0,80.25,79.0,77.14285714285715,76.54545454545455,72.53571428571429,73.5,2014,2
63,Belgium-United States,89.0,73.0,78.66666666666667,69.66666666666667,86.54761904761905,74.0,86.33333333333333,77.66666666666667,74.26587301587301,68.76136363636364,2014,2
64,Brazil-Chile,73.0,73.0,83.33333333333333,74.0,83.0,77.75,85.0,75.0,68.43939393939394,63.166666666666664,2014,1
65,Colombia-Uruguay,79.0,81.0,75.66666666666667,82.33333333333333,72.0,77.03571428571428,75.0,80.0,63.63492063492064,63.345238095238095,2014,2
66,Netherlands-Mexico,76.0,69.0,82.0,76.66666666666667,77.25,78.75,80.66666666666667,72.66666666666667,71.7840909090909,66.16666666666667,2014,2
67,Costa Rica-Greece,69.0,78.0,67.8,67.66666666666667,73.5,75.0,74.0,76.66666666666667,63.48333333333333,67.41666666666667,2014,1
68,France-Nigeria,88.0,73.0,85.66666666666667,73.31111111111112,82.75,75.25,83.0,72.31111111111112,74.33333333333333,68.38333333333334,2014,2
69,Germany-Algeria,89.0,72.85,80.0,74.0,85.5,81.75,85.0,78.0,74.91666666666667,68.30833333333334,2014,2
70,Argentina-Switzerland,80.0,84.0,85.0,76.0,80.25,79.0,77.14285714285715,76.54545454545455,72.53571428571429,73.5,2014,2
71,Belgium-United States,89.0,73.0,78.66666666666667,69.66666666666667,86.54761904761905,74.0,86.33333333333333,77.66666666666667,74.26587301587301,68.76136363636364,2014,2
72,France-Germany,88.0,89.0,85.66666666666667,80.0,82.75,85.5,83.0,85.0,74.33333333333333,74.91666666666667,2014,0
73,Brazil-Colombia,73.0,79.0,83.33333333333333,75.66666666666667,83.0,72.0,85.0,75.0,68.43939393939394,63.63492063492064,2014,2
74,Argentina-Belgium,80.0,89.0,85.0,78.66666666666667,80.25,86.54761904761905,77.14285714285715,86.33333333333333,72.53571428571429,74.26587301587301,2014,2
75,Netherlands-Costa Rica,76.0,69.0,82.0,67.8,77.25,73.5,80.66666666666667,74.0,71.7840909090909,63.48333333333333,2014,1
76,Brazil-Germany,73.0,89.0,83.33333333333333,80.0,83.0,85.5,85.0,85.0,68.43939393939394,74.91666666666667,2014,0
77,Netherlands-Argentina,76.0,80.0,82.0,85.0,77.25,80.25,80.66666666666667,77.14285714285715,71.7840909090909,72.53571428571429,2014,1
78,Brazil-Netherlands,73.0,76.0,83.33333333333333,82.0,83.0,77.25,85.0,80.66666666666667,68.43939393939394,71.7840909090909,2014,0
79,Germany-Argentina,89.0,80.0,80.0,85.0,85.5,80.25,85.0,77.14285714285715,74.91666666666667,72.53571428571429,2014,2
0,Russia-Saudi Arabia,80.0,71.0,68.0,64.33333333333333,78.0,72.25,75.8,71.66666666666667,72.2,65.83333333333333,2018,2
1,Egypt-Uruguay,70.52631578947368,81.0,79.0,80.96969696969697,74.0,75.5,72.35087719298245,80.0,66.79385964912281,63.75,2018,0
2,Morocco-Iran,79.0,73.0,70.33333333333333,75.33333333333333,79.75,68.58333333333333,76.0,70.1111111111111,70.95075757575758,63.75,2018,0
3,Portugal-Spain,85.0,91.0,79.51515151515152,83.33333333333333,82.0,86.5,81.66666666666667,88.33333333333333,70.08333333333333,72.91666666666667,2018,1
4,France-Australia,88.0,80.0,87.0,72.33333333333333,86.25,74.5,85.33333333333333,73.66666666666667,81.0,70.0,2018,2
